APPLICATION_ID,PI_GENDER,PI_RACE,APP_RECS_bert-x_o_w,APPVAL_RECS_bert-x_o_w,FOA_RECS_bert-x_o_w
10359813,m,w,"10610114,10670679,10705642,10709530,10710194","62060.0,59740.0,59740.0,59740.0,59740.0","RFA-NS-21-012,RFA-NS-21-012,RFA-NS-21-012,RFA-NS-21-012,RFA-NS-21-012"
9753241,m,w,"9120369,9320540,8965766,9320548,9323390","917000.0,875000.0,931000.0,875000.0,875000.0","RFA-ES-14-008,RFA-ES-14-008,RFA-ES-14-008,RFA-ES-14-008,RFA-ES-14-008"
8659443,m,w,"9043087,8548349,8262932,8263074,8263110","2358000.0,2430000.0,2466000.0,2466000.0,2466000.0","RFA-ES-10-010,RFA-ES-10-010,RFA-ES-10-010,RFA-ES-10-010,RFA-ES-10-010"
9706081,f,a,"9753822,9318442,9352728,9325392,9171449","1353000.0,1375000.0,1375000.0,1375000.0,1375000.0","RFA-AG-16-018,RFA-AG-16-018,RFA-AG-16-018,RFA-AG-16-018,RFA-AG-16-018"
8698446,m,w,"9533890,9114642,9324029,9747330,8951512","336250.0,352390.0,336250.0,330870.0,357770.0","RFA-HL-15-012,RFA-HL-15-012,RFA-HL-15-012,RFA-HL-15-012,RFA-HL-15-012"
9571058,m,h,"10153466,9733763,9696244,9696245,9696246","1102000.0,1168500.0,1168500.0,1168500.0,1168500.0","RFA-MD-17-005,RFA-MD-17-005,RFA-MD-17-005,RFA-MD-17-005,RFA-MD-17-005"
9527838,m,w,"10207406,10205951,10442446,10442652,10661380","464000.0,464000.0,428000.0,428000.0,428000.0","RFA-AA-18-007,RFA-AA-18-007,RFA-AA-18-007,RFA-AA-18-007,RFA-AA-18-007"
9994751,m,w,"9751321,9380694,9381090,9381650,9381688","307500.0,312500.0,312500.0,312500.0,312500.0","RFA-GM-17-004,RFA-GM-17-004,RFA-GM-17-004,RFA-GM-17-004,RFA-GM-17-004"
10216205,m,w,"8079819,8504815,8311650,8326059,8338848","420000.0,405000.0,411000.00000000006,274000.0,274000.0","RFA-CA-10-002,RFA-CA-10-002,RFA-CA-10-002,RFA-CA-10-001,RFA-CA-10-001"
9355575,m,w,"10738713,10738135,10738712,10738711,10738710","772500.0,772500.0,772500.0,772500.0,772500.0","RFA-CA-22-019,RFA-CA-22-019,RFA-CA-22-019,RFA-CA-22-019,RFA-CA-22-019"
8874375,m,w,"10290852,10661790,10480947,10480949,10480955","464000.0,412000.0,428000.0,428000.0,428000.0","RFA-DK-20-002,RFA-DK-20-002,RFA-DK-20-002,RFA-DK-20-002,RFA-DK-20-002"
8132845,m,w,"9506823,9293385,9693325,9318596,9293384","500000.0,500000.0,492000.0,500000.0,500000.0","RFA-NS-16-004,RFA-NS-16-004,RFA-NS-16-004,RFA-NS-16-004,RFA-NS-16-004"
9561922,m,w,"8509199,8144812,8144822,7935141,7935037","411000.00000000006,420000.0,420000.0,432000.0,432000.0","RFA-RM-09-006,RFA-RM-09-006,RFA-RM-09-006,RFA-RM-09-006,RFA-RM-09-006"
8710052,m,w,"9627725,9627276,9627574,9627577,9627418","2000000.0,2000000.0,2000000.0,2000000.0,2000000.0","RFA-CA-17-035,RFA-CA-17-035,RFA-CA-17-035,RFA-CA-17-035,RFA-CA-17-035"
