APPLICATION_ID,PI_GENDER,PI_RACE,APP_RECS_bert-base(para)_r_wi,APPVAL_RECS_bert-base(para)_r_wi,FOA_RECS_bert-base(para)_r_wi
8789173,m,h,"9889175,9615240,9783009,9783008,9783005","615000.0,615000.0,615000.0,615000.0,615000.0","RFA-MD-17-006,RFA-MD-17-006,RFA-MD-17-006,RFA-MD-17-006,RFA-MD-17-006"
9527152,m,a,"9068109,8910704,8758156,8756564,8758202","196500.0,199500.0,199500.0,199500.0,199500.0","RFA-ES-13-010,RFA-ES-13-010,RFA-ES-13-010,RFA-ES-13-010,RFA-ES-13-010"
10217030,f,w,"8995282,8883478,9505854,9301512,9116620","665000.0,665000.0,625000.0,625000.0,655000.0","RFA-DA-14-011,RFA-DA-14-011,RFA-DA-14-011,RFA-DA-14-011,RFA-DA-14-011"
10104482,m,a,"8521356,7936895,8308466,7938709,8308465","708750.0,756000.0,719250.0,756000.0,719250.0","RFA-HL-09-006,RFA-HL-09-006,RFA-HL-09-006,RFA-HL-09-006,RFA-HL-09-006"
8787984,m,w,"10493290,10612035,10493259,10493262,10493266","1926000.0,1854000.0,1926000.0,1926000.0,1926000.0","RFA-AI-20-020,RFA-AI-20-020,RFA-AI-20-020,RFA-AI-20-020,RFA-AI-20-020"
7921782,f,b,"9961650,10197193,9327044,9327058,10435744","553500.0,522000.0,562500.0,562500.0,522000.0","RFA-HL-16-010,RFA-HL-16-010,RFA-HL-16-010,RFA-HL-16-010,RFA-HL-16-010"
9222148,f,w,"9432540,9222148,10540315,10534779,10307483","250000.0,250000.0,515000.0,515000.0,535000.0","RFA-ES-15-017,RFA-ES-15-017,RFA-ES-20-001,RFA-ES-20-001,RFA-ES-20-001"
9674467,m,w,"9256475,10000585,9921559,9921560,9921561","187500.0,184500.0,184500.0,184500.0,184500.0","RFA-ES-13-001,RFA-ES-13-001,RFA-ES-13-001,RFA-ES-13-001,RFA-ES-13-001"
9273611,m,w,"9420639,9437827,9215356,9213709,8213827","250000.0,250000.0,250000.0,250000.0,28000.0","RFA-MH-17-150,RFA-MH-17-150,RFA-MH-17-150,RFA-MH-17-150,RFA-DE-11-003"
10480740,m,w,"9742995,8990636,9304875,9314322,9303425","387450.0,418950.0,393750.0,393750.0,393750.0","RFA-HD-15-011,RFA-HD-15-011,RFA-HD-15-011,RFA-HD-15-011,RFA-HD-15-011"
10361543,f,h,"8882395,8665899,8675838,8665909,8665910","199500.0,199500.0,199500.0,199500.0,199500.0","RFA-DK-11-003,RFA-DK-11-003,RFA-DK-11-003,RFA-DK-11-003,RFA-DK-11-003"
10241405,m,w,"7664567,7692225,7690402,7945331,7741458","937320.0,4920200.0,4920200.0,2275200.0,2306800.0","RFA-RM-05-015,RFA-RM-05-016,RFA-RM-05-016,RFA-HG-08-004,RFA-HG-08-004"
8300031,f,w,"8909286,9114663,9114677,9114674,9115048","1662500.0,1637500.0,1637500.0,1637500.0,1637500.0","RFA-TR-13-002,RFA-TR-13-002,RFA-TR-13-002,RFA-TR-13-002,RFA-TR-13-002"
9339325,f,h,"9344536,9274534,9339321,9303769,9303775","375000.0,393000.0,468750.0,468750.0,468750.0","RFA-FD-16-032,RFA-FD-16-032,RFA-FD-15-020,RFA-FD-15-020,RFA-FD-15-020"
8814164,m,w,"9182863,9197605,9827971,9823844,9823828","375000.0,375000.0,369000.0,369000.0,369000.0","RFA-AI-14-066,RFA-AI-14-066,RFA-AI-14-066,RFA-AI-14-066,RFA-AI-14-066"
7924122,f,w,"10393982,10394502,10394614,10394580,10392181","3866666.28,3866666.28,3866666.28,3866666.28,3866666.28","RFA-AI-21-022,RFA-AI-21-022,RFA-AI-21-022,RFA-AI-21-022,RFA-AI-21-022"
9672444,f,h,"9044776,9676314,8912671,8913586,8913347","122280.64,114813.12,124147.52,124147.52,124147.52","RFA-ES-14-004,RFA-ES-14-004,RFA-ES-14-004,RFA-ES-14-004,RFA-ES-14-004"
8672569,m,w,"8848725,9266784,9266789,9266786,9267086","1330000.0,1250000.0,1250000.0,1250000.0,1250000.0","RFA-AG-15-001,RFA-AG-15-001,RFA-AG-15-001,RFA-AG-15-001,RFA-AG-15-001"
9688831,f,w,"7666647,7896707,8150719,7847085,7874466","730000.0,720000.0,360000.0,365000.0,360000.0","RFA-AI-05-029,RFA-AI-05-029,RFA-AG-05-008,RFA-AG-05-008,RFA-AG-05-008"
10374944,m,w,"8464252,8662308,8264843,8265092,8264826","155250.0,152950.0,157550.0,157550.0,157550.0","RFA-HL-12-013,RFA-HL-12-013,RFA-HL-12-013,RFA-HL-12-013,RFA-HL-12-013"
10208856,m,h,"10447898,10599976,10405044,10089077,10630286","695500.0,669500.0,695500.0,799500.0,669500.0","RFA-DE-22-001,RFA-DE-22-001,RFA-DE-20-002,RFA-DE-20-002,RFA-DE-20-002"
