APPLICATION_ID,PI_GENDER,PI_RACE,APP_RECS_bert-base(para)_r_w,APPVAL_RECS_bert-base(para)_r_w,FOA_RECS_bert-base(para)_r_w
9137625,f,w,"9931948,9932631,9929063,9929365,9930378","369000.0,369000.0,369000.0,369000.0,369000.0","RFA-FD-19-018,RFA-FD-19-018,RFA-FD-19-018,RFA-FD-19-018,RFA-FD-19-018"
8085924,m,w,"9309081,9193112,9406628,9742996,9985616","500000.0,524000.0,150000.0,147600.0,147600.0","RFA-MD-15-011,RFA-MD-15-011,RFA-HD-17-022,RFA-HD-17-022,RFA-HD-17-022"
9485284,m,w,"7691833,7691405,7940507,7893813,7691838","292000.0,365000.0,365000.0,360000.0,365000.0","RFA-RM-08-011,RFA-RM-08-010,RFA-RM-08-010,RFA-RM-08-010,RFA-RM-08-010"
8070326,m,w,"9268705,9268704,9226030,9226035,9223649","1875000.0,1875000.0,1875000.0,1875000.0,1875000.0","RFA-AI-12-048,RFA-AI-12-048,RFA-AI-12-048,RFA-AI-12-048,RFA-AI-12-048"
8068031,f,w,"9615701,10132459,9930470,9930471,9930472","625000.0,580000.0,615000.0,615000.0,615000.0","RFA-MD-17-006,RFA-MD-17-006,RFA-MD-17-006,RFA-MD-17-006,RFA-MD-17-006"
9961343,m,w,"8459703,8460323,8897162,8897165,9107982","411000.00000000006,411000.00000000006,399000.0,399000.0,399000.0","RFA-FD-12-007,RFA-FD-12-007,RFA-FD-12-007,RFA-FD-12-007,RFA-FD-12-007"
8870884,m,h,"10630593,10631646,10707213,10740364,9054673","535000.0,515000.0,515000.0,515000.0,327500.0","RFA-MD-22-008,RFA-MD-22-008,RFA-MD-22-008,RFA-MD-22-008,RFA-MD-13-008"
9150566,m,w,"10133807,10256062,10049619,10372177,10470342","246000.0,232000.0,246000.0,214000.0,214000.0","RFA-ES-19-011,RFA-ES-19-011,RFA-ES-19-011,RFA-ES-19-011,RFA-ES-19-011"
10478136,m,w,"10692561,10692559,10319778,10319759,10318464","257500.0,257500.0,267500.0,267500.0,267500.0","RFA-DK-20-504,RFA-DK-20-504,RFA-DK-20-504,RFA-DK-20-504,RFA-DK-20-504"
10343347,m,w,"10586094,10569619,10557171,10348223,10347760","772500.0,772500.0,772500.0,802500.0,802500.0","RFA-AI-20-064,RFA-AI-20-064,RFA-AI-20-064,RFA-AI-20-064,RFA-AI-20-064"
8309064,f,w,"9514738,8848723,9514730,9514737,9514746","1250000.0,1330000.0,1250000.0,1250000.0,1250000.0","RFA-AG-15-001,RFA-AG-15-001,RFA-AG-15-001,RFA-AG-15-001,RFA-AG-15-001"
10744343,f,a,"8432009,8244145,8828159,8828160,8792844","675000.0,685000.0,266000.0,266000.0,266000.0","RFA-DA-12-001,RFA-DA-12-001,RFA-DA-14-006,RFA-DA-14-006,RFA-DA-14-006"
10116708,f,w,"9385159,9533194,7624178,7615583,7555939","1000000.0,1000000.0,365000.0,365000.0,365000.0","RFA-HL-15-027,RFA-HL-15-027,RFA-HL-07-009,RFA-HL-07-009,RFA-HL-07-009"
9080334,m,w,"8915479,8314023,8475561,8532644,8380612","532000.0,548000.0,540000.0,540000.0,548000.0","RFA-AR-11-011,RFA-AR-11-011,RFA-AR-11-011,RFA-AR-11-011,RFA-AR-11-011"
7959811,f,h,"8360683,8360479,7656621,7959775,7959774","280000.0,280000.0,292000.0,292000.0,292000.0","RFA-RR-06-002,RFA-RR-06-002,RFA-RR-06-002,RFA-RR-06-002,RFA-RR-06-002"
