APPLICATION_ID,PI_GENDER,PI_RACE,APP_RECS_bert-xxxxx_p_w,APPVAL_RECS_bert-xxxxx_p_w,FOA_RECS_bert-xxxxx_p_w
9972904,m,a,"10177832,10383697,10406885,9920655,9902280","290000.0,267500.0,267500.0,307500.0,307500.0","RFA-AG-18-009,RFA-AG-18-009,RFA-AG-18-009,RFA-AG-18-009,RFA-AG-18-009"
9520079,m,w,"9546463,9346002,9691088,9926797,9156542","156250.0,156250.0,153750.0,153750.0,163750.0","RFA-AG-16-010,RFA-AG-16-010,RFA-AG-16-010,RFA-AG-16-010,RFA-AG-16-010"
8519227,m,w,"8833707,9517023,9697814,9951035,9316605","1330000.0,562500.0,553500.0,553500.0,562500.0","RFA-DK-13-027,RFA-DK-15-017,RFA-DK-15-017,RFA-DK-15-017,RFA-DK-15-017"
10837461,f,w,"8925805,8883055,8881515,9124602,9124604","266000.0,266000.0,266000.0,262000.0,262000.0","RFA-FD-14-082,RFA-FD-14-082,RFA-FD-14-082,RFA-FD-14-082,RFA-FD-14-082"
9854050,m,w,"10152382,9515968,9851000,9982445,10093134","535000.0,625000.0,615000.0,615000.0,580000.0","RFA-MH-17-300,RFA-MH-17-300,RFA-MH-17-300,RFA-MH-17-300,RFA-MH-17-300"
8733670,f,b,"10080387,10082372,10239237,10239244,9987624","461250.0,461250.0,435000.0,435000.0,922500.0","RFA-GM-19-001,RFA-GM-19-001,RFA-GM-19-001,RFA-GM-19-001,RFA-DK-17-005"
7884906,f,w,"8712256,9269130,8712022,8851500,8867993","299250.0,281250.0,299250.0,299250.0,299250.0","RFA-AG-14-002,RFA-AG-14-002,RFA-AG-14-002,RFA-AG-14-002,RFA-AG-14-002"
7700947,f,w,"7870089,8010757,7890856,7901249,7932676","1460000.0,1440000.0,1460000.0,1460000.0,1460000.0","RFA-AI-07-013,RFA-AI-07-013,RFA-AI-07-013,RFA-AI-07-013,RFA-AI-07-013"
8531312,m,a,"9205998,9340202,9547441,10093134,9515968","655000.0,625000.0,625000.0,580000.0,625000.0","RFA-EY-15-002,RFA-EY-15-002,RFA-EY-15-002,RFA-MH-17-300,RFA-MH-17-300"
8232157,f,w,"9928385,9565384,9695908,9421907,8367889","430500.0,437500.0,430500.0,437500.0,274000.0","RFA-AG-17-002,RFA-AG-17-002,RFA-AG-17-002,RFA-AG-17-002,RFA-AG-12-008"
8173864,m,w,"10493338,10414448,10688251,10688253,10688256","1284000.0,1284000.0,1236000.0,1236000.0,1236000.0","RFA-CA-20-029,RFA-CA-20-029,RFA-CA-20-029,RFA-CA-20-029,RFA-CA-20-029"
8137112,m,w,"8707932,8853239,9059010,8720663,8721317","266000.0,266000.0,262000.0,266000.0,266000.0","RFA-AG-13-007,RFA-AG-13-007,RFA-AG-13-007,RFA-AG-13-007,RFA-AG-13-007"
9068833,f,b,"9291402,8996081,9146268,8858686,8675008","375000.0,399000.0,393000.0,465500.0,465500.0","RFA-AG-15-004,RFA-AG-15-004,RFA-AG-15-004,RFA-NR-12-010,RFA-NR-12-010"
7784449,m,a,"9930703,10330584,10376779,9930311,10186749","307500.0,267500.0,267500.0,307500.0,290000.0","RFA-ES-19-001,RFA-ES-19-001,RFA-ES-19-001,RFA-ES-19-001,RFA-ES-19-001"
9854038,f,w,"10457740,10459080,8634875,10399721,10731905","274540.60000000003,274540.60000000003,270000.0,214000.0,206000.0","RFA-HD-22-010,RFA-HD-22-010,RFA-MH-13-140,RFA-EY-21-001,RFA-EY-21-001"
9728259,m,w,"10448106,10642813,9114794,8283211,8535083","428000.0,412000.0,465500.0,350000.0,337500.0","RFA-TR-21-002,RFA-TR-21-002,RFA-MH-15-400,RFA-FD-11-016,RFA-FD-11-016"
8535990,m,h,"8794412,9213339,8509163,9000120,8617223","997500.0,937500.0,1012500.0,982500.0,997500.0","RFA-AI-12-007,RFA-AI-12-007,RFA-AI-12-007,RFA-AI-12-007,RFA-AI-12-007"
9944639,m,a,"9555305,10645746,10645964,10645467,10645719","375000.0,515000.0,515000.0,515000.0,515000.0","RFA-AG-17-056,RFA-AG-23-009,RFA-AG-23-009,RFA-AG-23-009,RFA-AG-23-009"
