APPLICATION_ID,PI_GENDER,PI_RACE,APP_RECS_bert-xxxxx_o_w,APPVAL_RECS_bert-xxxxx_o_w,FOA_RECS_bert-xxxxx_o_w
7945340,f,w,"8916833,8755467,8916834,8914039,9118786","299250.0,299250.0,299250.0,299250.0,294750.0","RFA-MH-14-102,RFA-MH-14-102,RFA-MH-14-102,RFA-MH-14-102,RFA-MH-14-102"
7922587,m,w,"10264171,10264140,10264053,10264032,10095260","57999.99999999999,57999.99999999999,57999.99999999999,57999.99999999999,61500.0","RFA-AG-20-027,RFA-AG-20-027,RFA-AG-20-027,RFA-AG-20-027,RFA-AG-20-027"
10001432,m,w,"10348098,9462174,9462195,9462183,9462181","232000.0,250000.0,250000.0,250000.0,250000.0","RFA-HD-16-020,RFA-HD-16-020,RFA-HD-16-020,RFA-HD-16-020,RFA-HD-16-020"
8550002,m,w,"10831698,10831792,10831321,8955131,8954103","515000.0,515000.0,515000.0,4655000.0,4655000.0","RFA-HS-23-002,RFA-HS-23-002,RFA-HS-23-002,RFA-HS-14-011,RFA-HS-14-011"
8356905,m,w,"8360254,7959844,7959604,7959603,7959602","280000.0,292000.0,292000.0,292000.0,292000.0","RFA-RR-06-001,RFA-RR-06-001,RFA-RR-06-001,RFA-RR-06-001,RFA-RR-06-001"
10260459,f,w,"7740800,7880436,8304481,9206593,9349458","1095000.0,1095000.0,1050000.0,655000.0,625000.0","RFA-AT-07-003,RFA-AT-07-003,RFA-AT-07-003,RFA-AT-16-005,RFA-AT-16-005"
8452142,f,b,"8375736,8460107,8377003,8652555,8459420","2055000.0,2025000.0,2055000.0,2025000.0,2025000.0","RFA-AI-08-013,RFA-AI-08-013,RFA-AI-08-013,RFA-AI-08-013,RFA-AI-08-013"
10354695,m,w,"9060558,10413850,10006880,9812381,10194494","4389000.0,749000.0,861000.0,861000.0,812000.0","RFA-ES-15-011,RFA-ES-18-010,RFA-ES-18-010,RFA-ES-18-010,RFA-ES-18-010"
8874374,m,w,"8441339,8443941,8545776,8443899,8446551","67500.0,67500.0,67500.0,67500.0,67500.0","RFA-DK-11-015,RFA-DK-11-015,RFA-DK-11-015,RFA-DK-11-015,RFA-DK-11-015"
9478357,f,w,"8299005,8196188,8195812,8323233,8459536","308250.0,315000.0,315000.0,308250.0,303750.0","RFA-MH-11-061,RFA-MH-11-061,RFA-MH-11-061,RFA-MH-11-061,RFA-MH-11-061"
8499174,m,a,"8316434,7795355,8043755,7933539,7938761","548000.0,584000.0,576000.0,576000.0,576000.0","RFA-AA-09-006,RFA-AA-09-006,RFA-AA-09-006,RFA-AA-09-006,RFA-AA-09-006"
9245898,m,w,"8914639,8717686,8912500,8416746,8416292","66500.0,66500.0,66500.0,68500.0,68500.0","RFA-RM-11-018,RFA-RM-11-018,RFA-RM-11-018,RFA-RM-11-018,RFA-RM-11-018"
8544784,f,w,"10599820,9854645,9854089,9854091,9854092","1030000.0,1230000.0,1230000.0,1230000.0,1230000.0","RFA-OD-19-013,RFA-OD-19-013,RFA-OD-19-013,RFA-OD-19-013,RFA-OD-19-013"
8007042,m,w,"8866053,8865788,9509363,9718556,9512696","1662500.0,1662500.0,1562500.0,1562500.0,1562500.0","RFA-OD-14-001,RFA-OD-14-001,RFA-OD-14-001,RFA-OD-14-001,RFA-OD-14-001"
9393657,f,w,"9302623,9097492,9097478,9097497,9097496","2250000.0,2358000.0,2358000.0,2358000.0,2358000.0","RFA-AA-12-002,RFA-AA-12-002,RFA-AA-12-002,RFA-AA-12-002,RFA-AA-12-002"
