APPLICATION_ID,PI_GENDER,PI_RACE,APP_RECS_biomedbert_o_w,APPVAL_RECS_biomedbert_o_w,FOA_RECS_biomedbert_o_w
8318381,m,w,"9957191,10219339,9384724,9723180,9555026","330255.0,311460.0,335625.0,330255.0,335625.0","RFA-HL-17-014,RFA-HL-17-014,RFA-HL-17-014,RFA-HL-17-014,RFA-HL-17-014"
9071539,m,w,"9381527,10240469,10234007,10234085,10234138","312500.0,290000.0,290000.0,290000.0,290000.0","RFA-GM-17-004,RFA-GM-17-004,RFA-GM-17-004,RFA-GM-17-004,RFA-GM-17-004"
8120588,m,w,"8700428,8304912,8120588,8137234,8322255","9476250.0,9761250.0,9975000.0,9975000.0,9975000.0","RFA-HD-09-006,RFA-HD-09-006,RFA-HD-09-006,RFA-HD-09-006,RFA-HD-09-006"
9548127,m,w,"8379375,8509725,8505515,8505511,8505518","1027500.0,1012500.0,1012500.0,1012500.0,1012500.0","RFA-HD-10-022,RFA-HD-10-022,RFA-HD-10-022,RFA-HD-10-022,RFA-HD-10-022"
7858033,m,w,"8377842,7893753,8104024,8104025,8104026","102750.0,108000.0,108000.0,108000.0,108000.0","RFA-MD-08-002,RFA-MD-08-002,RFA-MD-08-002,RFA-MD-08-002,RFA-MD-08-002"
7691735,f,w,"8338845,8121268,8121704,8121084,8121834","274000.0,280000.0,280000.0,280000.0,280000.0","RFA-AI-10-022,RFA-AI-10-022,RFA-AI-10-022,RFA-AI-10-022,RFA-AI-10-022"
8789173,m,h,"9398910,8639309,9387324,9187498,9196267","312500.0,332500.0,312500.0,312500.0,312500.0","RFA-MD-13-002,RFA-MD-13-002,RFA-MD-13-002,RFA-MD-13-002,RFA-MD-13-002"
9527152,m,a,"10198235,10198224,10198318,10445081,10450792","869999.9999999999,869999.9999999999,869999.9999999999,802500.0,802500.0","RFA-ES-20-009,RFA-ES-20-009,RFA-ES-20-009,RFA-ES-20-009,RFA-ES-20-009"
10217030,f,w,"10091323,10217030,10091568,10092384,10680594","276750.0,261000.0,615000.0,615000.0,515000.0","RFA-MH-20-521,RFA-MH-20-521,RFA-MH-20-520,RFA-MH-20-520,RFA-MH-20-520"
10104482,m,a,"9889884,9952554,10465271,9751599,9748426","615000.0,615000.0,515000.0,615000.0,615000.0","RFA-AI-18-017,RFA-AI-18-017,RFA-AI-18-017,RFA-AI-18-017,RFA-AI-17-013"
8787984,m,w,"7906362,8116524,8608265,8051576,8046460","720000.0,700000.0,675000.0,700000.0,700000.0","RFA-AI-09-010,RFA-AI-09-010,RFA-AI-09-010,RFA-AI-09-010,RFA-AI-09-010"
7921782,f,b,"8702231,9495583,9322575,9609470,9724538","99750.0,93750.0,93750.0,92250.0,92250.0","RFA-HL-13-019,RFA-HL-13-019,RFA-HL-13-019,RFA-HL-13-019,RFA-HL-13-019"
9222148,f,w,"9222148,9432540,8691043,8462270,8469035","250000.0,250000.0,405000.0,405000.0,405000.0","RFA-ES-15-017,RFA-ES-15-017,RFA-ES-09-009,RFA-ES-09-009,RFA-ES-09-009"
9674467,m,w,"9544223,9542172,9942440,9942442,10155799","2187500.0,2187500.0,2152500.0,2152500.0,2152500.0","RFA-ES-15-019,RFA-ES-15-019,RFA-ES-15-019,RFA-ES-15-019,RFA-ES-15-019"
9273611,m,w,"8264027,8204835,8136498,8224711,8180262","560000.0,560000.0,560000.0,560000.0,576000.0","RFA-MH-10-060,RFA-MH-10-060,RFA-MH-10-060,RFA-MH-10-060,RFA-MH-10-060"
10480740,m,w,"9739377,8991655,9307886,9297347,9301390","387450.0,418950.0,393750.0,393750.0,393750.0","RFA-HD-15-011,RFA-HD-15-011,RFA-HD-15-011,RFA-HD-15-011,RFA-HD-15-011"
10361543,f,h,"8450724,9132233,8441494,8464070,8441495","202500.0,196500.0,202500.0,202500.0,202500.0","RFA-DK-11-003,RFA-DK-11-003,RFA-DK-11-003,RFA-DK-11-003,RFA-DK-11-003"
10241405,m,w,"10241404,10241405,10475828,10709865,10021043","11310000.0,11310000.0,10432500.0,10042500.0,11992500.0","RFA-NS-19-012,RFA-NS-19-012,RFA-NS-19-012,RFA-NS-19-012,RFA-NS-19-012"
8300031,f,w,"8152223,8300031,8074774,8511846,7853434","700000.0,685000.0,720000.0,675000.0,1460000.0","RFA-NR-10-004,RFA-NR-10-004,RFA-NR-10-004,RFA-NR-10-004,RFA-OD-09-004"
9339325,f,h,"10613274,9148992,9340996,9044299,9274534","1070000.0,262000.0,250000.0,266000.0,393000.0","RFA-FD-22-024,RFA-FD-15-003,RFA-FD-15-003,RFA-FD-15-003,RFA-FD-16-032"
