APPLICATION_ID,PI_GENDER,PI_RACE,APP_RECS_distilbert_r_wi,APPVAL_RECS_distilbert_r_wi,FOA_RECS_distilbert_r_wi
10573185,m,w,"8582263,8584670,8691778,8743206,8723828","540000.0,540000.0,532000.0,532000.0,532000.0","RFA-ES-12-008,RFA-ES-12-008,RFA-ES-12-008,RFA-ES-12-008,RFA-ES-12-008"
9257399,f,w,"10453436,10675524,10453434,10453435,10009355","1605000.0,1545000.0,1605000.0,1605000.0,1845000.0","RFA-ES-18-012,RFA-ES-18-012,RFA-ES-18-012,RFA-ES-18-012,RFA-ES-18-012"
8518235,f,w,"8617223,8794412,9213339,8509163,9000120","997500.0,997500.0,937500.0,1012500.0,982500.0","RFA-AI-12-007,RFA-AI-12-007,RFA-AI-12-007,RFA-AI-12-007,RFA-AI-12-007"
8318381,m,w,"8651533,9042419,8318508,8318381,8464820","332500.0,327500.0,342500.0,342500.0,337500.0","RFA-HL-12-027,RFA-HL-12-027,RFA-HL-12-027,RFA-HL-12-027,RFA-HL-12-027"
9071539,m,w,"8913107,8414034,8413975,8517895,8544456","997500.0,1027500.0,1027500.0,1027500.0,1012500.0","RFA-RM-11-015,RFA-RM-11-015,RFA-RM-11-015,RFA-RM-11-015,RFA-RM-11-015"
8120588,m,w,"10064192,10728439,10245275,8333346,8317561","615000.0,515000.0,580000.0,685000.0,685000.0","RFA-HD-20-008,RFA-HD-20-008,RFA-HD-20-008,RFA-MH-11-090,RFA-MH-11-090"
9548127,m,w,"9355673,9355657,9544718,9748878,9748880","1000000.0,1000000.0,1000000.0,984000.0,984000.0","RFA-HD-16-013,RFA-HD-16-013,RFA-HD-16-013,RFA-HD-16-013,RFA-HD-16-013"
7858033,m,w,"10614049,10471624,10478536,10479606,10698024","370800.0,385200.0,385200.0,385200.0,370800.0","RFA-DK-21-023,RFA-DK-21-023,RFA-DK-21-023,RFA-DK-21-023,RFA-DK-21-023"
7691735,f,w,"8501615,8508998,8534229,8389405,8387986","371250.0,371250.0,371250.0,376750.00000000006,376750.00000000006","RFA-HD-12-205,RFA-HD-12-205,RFA-HD-12-205,RFA-HD-12-205,RFA-HD-12-205"
8789173,m,h,"10707131,10556830,10556716,10556717,10556721","257500.0,267500.0,267500.0,267500.0,267500.0","RFA-MD-22-002,RFA-MD-22-002,RFA-MD-22-002,RFA-MD-22-002,RFA-MD-22-002"
9527152,m,a,"9783397,9783372,8116121,7879363,9068459","276750.0,276750.0,576000.0,576000.0,532000.0","RFA-ES-18-008,RFA-ES-18-008,RFA-ES-07-005,RFA-ES-07-005,RFA-ES-07-005"
10217030,f,w,"10217030,10091323,10250532,10684692,10475677","261000.0,276750.0,580000.0,515000.0,535000.0","RFA-MH-20-521,RFA-MH-20-521,RFA-MH-20-520,RFA-MH-20-520,RFA-MH-20-520"
10104482,m,a,"8705776,8688737,8895833,8819101,8820238","665000.0,665000.0,665000.0,665000.0,665000.0","RFA-AI-12-042,RFA-AI-12-042,RFA-AI-12-042,RFA-AI-12-042,RFA-AI-12-042"
8787984,m,w,"9815958,10064608,10316230,10336440,9820712","369000.0,348000.0,321000.0,321000.0,369000.0","RFA-AI-16-079,RFA-AI-16-079,RFA-AI-16-079,RFA-AI-16-079,RFA-AI-16-079"
